table_name,column_name,alias_name,io_type,mapper_file_name,mapper_id,access_pattern
emergency_contacts,contact_name,fullName,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,contact_phone,phoneNumber,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,contact_name,fullName,param,EmergencyContactMapper.xml,insert,
emergency_contacts,contact_phone,phoneNumber,param,EmergencyContactMapper.xml,insert,
emergency_contacts,contact_name,name (SELECT 출처),param,EmergencyContactMapper.xml,insertSelfAsContact,
emergency_contacts,contact_phone,phone,param,EmergencyContactMapper.xml,insertSelfAsContact,
users,name,name,result,EmergencyContactMapper.xml,insertSelfAsContact,
find_contacts_by_name,name,name,param,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,id,id,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,user_id,user_id,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,contact_name,contact_name,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,contact_phone,contact_phone,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
(procedure:update_contact_phone),id,id,param,EmergencyContactMapper.xml,callUpdateContactPhone,SP/함수 파라미터 - 내부 매핑 테이블 수작업 확인 필요
(procedure:update_contact_phone),phone,phone,param,EmergencyContactMapper.xml,callUpdateContactPhone,SP/함수 파라미터 - 내부 매핑 테이블 수작업 확인 필요
emergency_contacts,contact_name,contact_name,result,EmergencyContactMapper.xml,findByIdUsingFragment,
emergency_contacts,contact_phone,contact_phone,result,EmergencyContactMapper.xml,findByIdUsingFragment,
emergency_contacts,contact_name,item.fullName,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,contact_phone,item.phoneNumber,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,contact_name,contact_name,result,EmergencyContactMapper.xml,findByContactNames,
emergency_contacts,contact_phone,contact_phone,result,EmergencyContactMapper.xml,findByContactNames,
emergency_contacts,contact_name,name (조건절),param,EmergencyContactMapper.xml,findByContactNames,IN절
users,name,name,result,EmergencyContactMapper.xml,findUsersWithContactNameJoin,
emergency_contacts,contact_name,contactName (조건절),param,EmergencyContactMapper.xml,findUsersWithContactNameJoin,
orders,customer_name,customerName,result,OrderMapper.xml,findAll,
orders,customer_email,customerEmail,result,OrderMapper.xml,findAll,
orders,customer_phone,customerPhone,result,OrderMapper.xml,findAll,
orders,shipping_address,shippingAddress,result,OrderMapper.xml,findAll,
orders,customer_name,customerName,result,OrderMapper.xml,findById,
orders,customer_email,customerEmail,result,OrderMapper.xml,findById,
orders,customer_phone,customerPhone,result,OrderMapper.xml,findById,
orders,shipping_address,shippingAddress,result,OrderMapper.xml,findById,
users,name,customer_display_name,result,OrderMapper.xml,findWithUserContact,
users,email,customer_display_email,result,OrderMapper.xml,findWithUserContact,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findWithUserContact,
orders,customer_name,customer_name,result,OrderMapper.xml,findAllDetailed,
orders,customer_email,customer_email,result,OrderMapper.xml,findAllDetailed,
orders,customer_phone,customer_phone,result,OrderMapper.xml,findAllDetailed,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findAllDetailed,
users,name,customer_display_name,result,OrderMapper.xml,findAllDetailed,
orders,customer_name,customer_name,result,OrderMapper.xml,findPaidOrders,
orders,customer_email,customer_email,result,OrderMapper.xml,findPaidOrders,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findPaidOrders,
orders,customer_name,customerName,result,OrderMapper.xml,findRecentOrders,
orders,customer_email,customerEmail,result,OrderMapper.xml,findRecentOrders,
orders,customer_phone,customerPhone,result,OrderMapper.xml,findRecentOrders,
orders,shipping_address,shippingAddress,result,OrderMapper.xml,findRecentOrders,
orders,customer_name,customer_name,result,OrderMapper.xml,findRecentOrders,
orders,customer_email,customer_email,result,OrderMapper.xml,findRecentOrders,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findRecentOrders,
users,name,name,result,OrderMapper.xml,findAllUsersWithOrders,
users,email,email,result,OrderMapper.xml,findAllUsersWithOrders,
orders,customer_phone,customer_phone,result,OrderMapper.xml,findAllUsersWithOrders,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findAllUsersWithOrders,
orders,customer_name,customer_name,result,OrderMapper.xml,findCustomerOrderSummary,
orders,customer_email,customer_email,result,OrderMapper.xml,findCustomerOrderSummary,
