table_name,column_name,alias_name,io_type,mapper_file_name,mapper_id,access_pattern
emergency_contacts,id,id,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,user_id,userId,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,contact_name,fullName,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,contact_phone,phoneNumber,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,relation,relation,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,is_primary,primary,result,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,user_id,userId (조건절),param,EmergencyContactMapper.xml,findByUserId,
emergency_contacts,user_id,userId,param,EmergencyContactMapper.xml,insert,
emergency_contacts,contact_name,fullName,param,EmergencyContactMapper.xml,insert,
emergency_contacts,contact_phone,phoneNumber,param,EmergencyContactMapper.xml,insert,
emergency_contacts,relation,relation,param,EmergencyContactMapper.xml,insert,
emergency_contacts,is_primary,primary,param,EmergencyContactMapper.xml,insert,
emergency_contacts,user_id,id (SELECT 출처),param,EmergencyContactMapper.xml,insertSelfAsContact,
emergency_contacts,contact_name,name (SELECT 출처),param,EmergencyContactMapper.xml,insertSelfAsContact,
emergency_contacts,contact_phone,phone,param,EmergencyContactMapper.xml,insertSelfAsContact,
emergency_contacts,relation,'self' (SELECT 출처),param,EmergencyContactMapper.xml,insertSelfAsContact,
users,id,id,result,EmergencyContactMapper.xml,insertSelfAsContact,
users,name,name,result,EmergencyContactMapper.xml,insertSelfAsContact,
users,id,userId (조건절),param,EmergencyContactMapper.xml,insertSelfAsContact,
find_contacts_by_name,name,name,param,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,id,id,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,user_id,user_id,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,contact_name,contact_name,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
find_contacts_by_name,contact_phone,contact_phone,result,EmergencyContactMapper.xml,findByNameViaFunction,DB 함수 반환 - 실제 원본 테이블 수작업 확인 필요
(procedure:update_contact_phone),id,id,param,EmergencyContactMapper.xml,callUpdateContactPhone,SP/함수 파라미터 - 내부 매핑 테이블 수작업 확인 필요
(procedure:update_contact_phone),phone,phone,param,EmergencyContactMapper.xml,callUpdateContactPhone,SP/함수 파라미터 - 내부 매핑 테이블 수작업 확인 필요
emergency_contacts,id,id,result,EmergencyContactMapper.xml,findByIdUsingFragment,
emergency_contacts,contact_name,contact_name,result,EmergencyContactMapper.xml,findByIdUsingFragment,
emergency_contacts,contact_phone,contact_phone,result,EmergencyContactMapper.xml,findByIdUsingFragment,
emergency_contacts,id,id (조건절),param,EmergencyContactMapper.xml,findByIdUsingFragment,
emergency_contacts,user_id,item.userId,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,contact_name,item.fullName,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,contact_phone,item.phoneNumber,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,relation,item.relation,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,is_primary,item.primary,param,EmergencyContactMapper.xml,insertBatch,
emergency_contacts,id,id,result,EmergencyContactMapper.xml,findByContactNames,
emergency_contacts,user_id,user_id,result,EmergencyContactMapper.xml,findByContactNames,
emergency_contacts,contact_name,contact_name,result,EmergencyContactMapper.xml,findByContactNames,
emergency_contacts,contact_phone,contact_phone,result,EmergencyContactMapper.xml,findByContactNames,
emergency_contacts,contact_name,name (조건절),param,EmergencyContactMapper.xml,findByContactNames,IN절
users,id,id,result,EmergencyContactMapper.xml,findUsersWithContactNameJoin,
users,name,name,result,EmergencyContactMapper.xml,findUsersWithContactNameJoin,
emergency_contacts,contact_name,contactName (조건절),param,EmergencyContactMapper.xml,findUsersWithContactNameJoin,
order_items,id,id,result,OrderItemMapper.xml,findByOrderId,
order_items,order_id,orderId,result,OrderItemMapper.xml,findByOrderId,
order_items,product_name,productName,result,OrderItemMapper.xml,findByOrderId,
order_items,quantity,quantity,result,OrderItemMapper.xml,findByOrderId,
order_items,unit_price,unitPrice,result,OrderItemMapper.xml,findByOrderId,
order_items,order_id,orderId (조건절),param,OrderItemMapper.xml,findByOrderId,
order_items,order_id,orderId,param,OrderItemMapper.xml,insert,
order_items,product_name,productName,param,OrderItemMapper.xml,insert,
order_items,quantity,quantity,param,OrderItemMapper.xml,insert,
order_items,unit_price,unitPrice,param,OrderItemMapper.xml,insert,
orders,id,id,result,OrderMapper.xml,findAll,
orders,user_id,userId,result,OrderMapper.xml,findAll,
orders,customer_name,customerName,result,OrderMapper.xml,findAll,
orders,customer_email,customerEmail,result,OrderMapper.xml,findAll,
orders,customer_phone,customerPhone,result,OrderMapper.xml,findAll,
orders,shipping_address,shippingAddress,result,OrderMapper.xml,findAll,
orders,status,status,result,OrderMapper.xml,findAll,
orders,total_amount,totalAmount,result,OrderMapper.xml,findAll,
orders,created_at,createdAt,result,OrderMapper.xml,findAll,
orders,id,id,result,OrderMapper.xml,findById,
orders,user_id,userId,result,OrderMapper.xml,findById,
orders,customer_name,customerName,result,OrderMapper.xml,findById,
orders,customer_email,customerEmail,result,OrderMapper.xml,findById,
orders,customer_phone,customerPhone,result,OrderMapper.xml,findById,
orders,shipping_address,shippingAddress,result,OrderMapper.xml,findById,
orders,status,status,result,OrderMapper.xml,findById,
orders,total_amount,totalAmount,result,OrderMapper.xml,findById,
orders,created_at,createdAt,result,OrderMapper.xml,findById,
orders,id,id (조건절),param,OrderMapper.xml,findById,
orders,id,id,result,OrderMapper.xml,findWithUserContact,
orders,user_id,user_id,result,OrderMapper.xml,findWithUserContact,
users,name,customer_display_name,result,OrderMapper.xml,findWithUserContact,
users,email,customer_display_email,result,OrderMapper.xml,findWithUserContact,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findWithUserContact,
orders,status,status,result,OrderMapper.xml,findWithUserContact,
orders,total_amount,total_amount,result,OrderMapper.xml,findWithUserContact,
orders,id,id (조건절),param,OrderMapper.xml,findWithUserContact,
orders,id,id,result,OrderMapper.xml,findAllDetailed,
orders,user_id,user_id,result,OrderMapper.xml,findAllDetailed,
orders,customer_name,customer_name,result,OrderMapper.xml,findAllDetailed,
orders,customer_email,customer_email,result,OrderMapper.xml,findAllDetailed,
orders,customer_phone,customer_phone,result,OrderMapper.xml,findAllDetailed,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findAllDetailed,
orders,status,status,result,OrderMapper.xml,findAllDetailed,
orders,total_amount,total_amount,result,OrderMapper.xml,findAllDetailed,
orders,created_at,created_at,result,OrderMapper.xml,findAllDetailed,
users,name,customer_display_name,result,OrderMapper.xml,findAllDetailed,
orders,id,id,result,OrderMapper.xml,findPaidOrders,
orders,customer_name,customer_name,result,OrderMapper.xml,findPaidOrders,
orders,customer_email,customer_email,result,OrderMapper.xml,findPaidOrders,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findPaidOrders,
orders,id,id,result,OrderMapper.xml,findRecentOrders,
orders,user_id,userId,result,OrderMapper.xml,findRecentOrders,
orders,customer_name,customerName,result,OrderMapper.xml,findRecentOrders,
orders,customer_email,customerEmail,result,OrderMapper.xml,findRecentOrders,
orders,customer_phone,customerPhone,result,OrderMapper.xml,findRecentOrders,
orders,shipping_address,shippingAddress,result,OrderMapper.xml,findRecentOrders,
orders,status,status,result,OrderMapper.xml,findRecentOrders,
orders,total_amount,totalAmount,result,OrderMapper.xml,findRecentOrders,
orders,created_at,createdAt,result,OrderMapper.xml,findRecentOrders,
orders,created_at,since (조건절),param,OrderMapper.xml,findRecentOrders,범위비교
orders,customer_name,customer_name,result,OrderMapper.xml,findRecentOrders,
orders,customer_email,customer_email,result,OrderMapper.xml,findRecentOrders,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findRecentOrders,
users,name,name,result,OrderMapper.xml,findAllUsersWithOrders,
users,email,email,result,OrderMapper.xml,findAllUsersWithOrders,
orders,customer_phone,customer_phone,result,OrderMapper.xml,findAllUsersWithOrders,
orders,shipping_address,shipping_address,result,OrderMapper.xml,findAllUsersWithOrders,
orders,customer_name,customer_name,result,OrderMapper.xml,findCustomerOrderSummary,
orders,customer_email,customer_email,result,OrderMapper.xml,findCustomerOrderSummary,
users,name,account_owner,result,OrderMapper.xml,findCustomerOrderSummary,
order_items,id,item_count,result,OrderMapper.xml,findCustomerOrderSummary,함수/가공값
order_items,quantity,order_total,result,OrderMapper.xml,findCustomerOrderSummary,함수/가공값
order_items,unit_price,order_total,result,OrderMapper.xml,findCustomerOrderSummary,함수/가공값
orders,user_id,userId,param,OrderMapper.xml,insert,
orders,customer_name,customerName,param,OrderMapper.xml,insert,
orders,customer_email,customerEmail,param,OrderMapper.xml,insert,
orders,customer_phone,customerPhone,param,OrderMapper.xml,insert,
orders,shipping_address,shippingAddress,param,OrderMapper.xml,insert,
orders,status,status,param,OrderMapper.xml,insert,
orders,total_amount,totalAmount,param,OrderMapper.xml,insert,
orders,customer_phone,customerPhone,param,OrderMapper.xml,updateShippingInfo,
orders,shipping_address,shippingAddress,param,OrderMapper.xml,updateShippingInfo,
orders,id,id (조건절),param,OrderMapper.xml,updateShippingInfo,
orders,status,status,param,OrderMapper.xml,updateStatusByUserEmail,
users,email,email (조건절),param,OrderMapper.xml,updateStatusByUserEmail,
users,id,id,result,OrderMapper.xml,updateStatusForUsersLike,
users,email,emailPattern (조건절),param,OrderMapper.xml,updateStatusForUsersLike,LIKE검색
orders,status,status,param,OrderMapper.xml,updateStatusForUsersLike,
orders,id,id,result,OrderMapper.xml,findOrdersWithContactColumns,
orders,customer_name,customer_name,result,OrderMapper.xml,findOrdersWithContactColumns,
emergency_contacts,contact_name,contact_name,result,OrderMapper.xml,findOrdersWithContactColumns,
emergency_contacts,contact_phone,contact_phone,result,OrderMapper.xml,findOrdersWithContactColumns,
payment_methods,id,id,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,user_id,userId,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,card_holder_name,cardHolderName,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,card_number_masked,cardNumberMasked,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,expiry_month,expiryMonth,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,expiry_year,expiryYear,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,default_method,defaultMethod,result,PaymentMethodMapper.xml,findByUserId,
payment_methods,user_id,userId (조건절),param,PaymentMethodMapper.xml,findByUserId,
payment_methods,user_id,userId,param,PaymentMethodMapper.xml,insert,
payment_methods,card_holder_name,cardHolderName,param,PaymentMethodMapper.xml,insert,
payment_methods,card_number_masked,cardNumberMasked,param,PaymentMethodMapper.xml,insert,
payment_methods,expiry_month,expiryMonth,param,PaymentMethodMapper.xml,insert,
payment_methods,expiry_year,expiryYear,param,PaymentMethodMapper.xml,insert,
payment_methods,default_method,defaultMethod,param,PaymentMethodMapper.xml,insert,
users,id,id,result,ReportMapper.xml,findCustomerReport,
users,name,name,result,ReportMapper.xml,findCustomerReport,
users,email,email,result,ReportMapper.xml,findCustomerReport,
users,created_at,createdAt,result,ReportMapper.xml,findCustomerReport,
users,id,userId (조건절),param,ReportMapper.xml,findCustomerReport,
user_profiles,user_id,userId,result,ReportMapper.xml,findCustomerReport,
user_profiles,phone_number,phoneNumber,result,ReportMapper.xml,findCustomerReport,
user_profiles,birth_date,birthDate,result,ReportMapper.xml,findCustomerReport,
user_profiles,address_line1,addressLine1,result,ReportMapper.xml,findCustomerReport,
user_profiles,marketing_opt_in,marketingOptIn,result,ReportMapper.xml,findCustomerReport,
orders,user_id,userId,result,ReportMapper.xml,findCustomerReport,
orders,id,order_count,result,ReportMapper.xml,findCustomerReport,함수/가공값
orders,total_amount,total_spent,result,ReportMapper.xml,findCustomerReport,함수/가공값
orders,created_at,last_order_at,result,ReportMapper.xml,findCustomerReport,함수/가공값
orders,created_at,first_order_at,result,ReportMapper.xml,findCustomerReport,함수/가공값
orders,id,order_id,result,ReportMapper.xml,findCustomerReport,
orders,customer_name,customerName,result,ReportMapper.xml,findCustomerReport,
orders,customer_email,customerEmail,result,ReportMapper.xml,findCustomerReport,
orders,customer_phone,customerPhone,result,ReportMapper.xml,findCustomerReport,
orders,shipping_address,shippingAddress,result,ReportMapper.xml,findCustomerReport,
orders,status,status,result,ReportMapper.xml,findCustomerReport,
recent_orders,user_id,userId,result,ReportMapper.xml,findCustomerReport,
order_items,id,recent_item_count,result,ReportMapper.xml,findCustomerReport,함수/가공값
order_items,quantity,recent_item_total,result,ReportMapper.xml,findCustomerReport,함수/가공값
order_items,unit_price,recent_item_total,result,ReportMapper.xml,findCustomerReport,함수/가공값
recent_orders,customer_name,latest_customer_name,result,ReportMapper.xml,findCustomerReport,
recent_orders,customer_email,latest_customer_email,result,ReportMapper.xml,findCustomerReport,
recent_orders,customer_phone,latest_customer_phone,result,ReportMapper.xml,findCustomerReport,
recent_orders,shipping_address,latest_shipping_address,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,user_id,userId,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,contact_name,contactName,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,contact_phone,contactPhone,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,relation,relation,result,ReportMapper.xml,findCustomerReport,
payment_methods,user_id,userId,result,ReportMapper.xml,findCustomerReport,
payment_methods,card_holder_name,cardHolderName,result,ReportMapper.xml,findCustomerReport,
payment_methods,card_number_masked,cardNumberMasked,result,ReportMapper.xml,findCustomerReport,
payment_methods,expiry_month,expiryMonth,result,ReportMapper.xml,findCustomerReport,
payment_methods,expiry_year,expiryYear,result,ReportMapper.xml,findCustomerReport,
users,created_at,created_at,result,ReportMapper.xml,findCustomerReport,
user_profiles,phone_number,phone_number,result,ReportMapper.xml,findCustomerReport,
user_profiles,birth_date,birth_date,result,ReportMapper.xml,findCustomerReport,
user_profiles,address_line1,address_line1,result,ReportMapper.xml,findCustomerReport,
user_profiles,marketing_opt_in,marketing_opt_in_label,result,ReportMapper.xml,findCustomerReport,함수/가공값
order_stats,order_count,order_count,result,ReportMapper.xml,findCustomerReport,함수/가공값
order_stats,total_spent,total_spent,result,ReportMapper.xml,findCustomerReport,함수/가공값
order_stats,first_order_at,first_order_at,result,ReportMapper.xml,findCustomerReport,
order_stats,last_order_at,last_order_at,result,ReportMapper.xml,findCustomerReport,
order_items,recent_item_count,recent_item_count,result,ReportMapper.xml,findCustomerReport,함수/가공값
order_items,recent_item_total,recent_item_total,result,ReportMapper.xml,findCustomerReport,함수/가공값
orders,customer_name,latest_customer_name,result,ReportMapper.xml,findCustomerReport,
orders,customer_email,latest_customer_email,result,ReportMapper.xml,findCustomerReport,
orders,customer_phone,latest_customer_phone,result,ReportMapper.xml,findCustomerReport,
orders,shipping_address,latest_shipping_address,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,contact_name,primary_contact_name,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,contact_phone,primary_contact_phone,result,ReportMapper.xml,findCustomerReport,
emergency_contacts,relation,primary_contact_relation,result,ReportMapper.xml,findCustomerReport,
payment_methods,card_holder_name,default_card_holder_name,result,ReportMapper.xml,findCustomerReport,
payment_methods,card_number_masked,default_card_number_masked,result,ReportMapper.xml,findCustomerReport,
payment_methods,expiry_month,default_card_expiry_month,result,ReportMapper.xml,findCustomerReport,
payment_methods,expiry_year,default_card_expiry_year,result,ReportMapper.xml,findCustomerReport,
users,email,display_label,result,ReportMapper.xml,findCustomerReport,문자열연결
users,name,display_label,result,ReportMapper.xml,findCustomerReport,문자열연결
users,name,name_with_emergency_contact,result,ReportMapper.xml,findCustomerReport,문자열연결
emergency_contacts,contact_name,name_with_emergency_contact,result,ReportMapper.xml,findCustomerReport,문자열연결
users,id,id,result,ReportMapper.xml,searchCustomers,
users,name,name,result,ReportMapper.xml,searchCustomers,
users,email,email,result,ReportMapper.xml,searchCustomers,
users,created_at,created_at,result,ReportMapper.xml,searchCustomers,
orders,id,order_id,result,ReportMapper.xml,searchCustomers,
orders,customer_name,customer_name,result,ReportMapper.xml,searchCustomers,
orders,customer_email,customer_email,result,ReportMapper.xml,searchCustomers,
orders,customer_phone,customer_phone,result,ReportMapper.xml,searchCustomers,
orders,shipping_address,shipping_address,result,ReportMapper.xml,searchCustomers,
orders,status,status,result,ReportMapper.xml,searchCustomers,
orders,total_amount,total_amount,result,ReportMapper.xml,searchCustomers,
emergency_contacts,contact_name,contact_name,result,ReportMapper.xml,searchCustomers,
emergency_contacts,contact_phone,contact_phone,result,ReportMapper.xml,searchCustomers,
emergency_contacts,relation,relation,result,ReportMapper.xml,searchCustomers,
payment_methods,card_holder_name,card_holder_name,result,ReportMapper.xml,searchCustomers,
payment_methods,card_number_masked,card_number_masked,result,ReportMapper.xml,searchCustomers,
users,email,search_result_label,result,ReportMapper.xml,searchCustomers,문자열연결
users,name,search_result_label,result,ReportMapper.xml,searchCustomers,문자열연결
emergency_contacts,relation,relation (조건절),param,ReportMapper.xml,searchCustomers,
orders,shipping_address,shippingAddressLike (조건절),param,ReportMapper.xml,searchCustomers,LIKE검색
orders,total_amount,maxSpend (조건절),param,ReportMapper.xml,searchCustomers,범위비교
users,email,email (조건절),param,ReportMapper.xml,searchCustomers,
orders,total_amount,minSpend (조건절),param,ReportMapper.xml,searchCustomers,범위비교
users,id,uid (조건절),param,ReportMapper.xml,searchCustomers,IN절
orders,status,status (조건절),param,ReportMapper.xml,searchCustomers,IN절
orders,customer_email,orderEmail (조건절),param,ReportMapper.xml,searchCustomers,
orders,customer_phone,orderPhone (조건절),param,ReportMapper.xml,searchCustomers,
emergency_contacts,contact_name,contactName (조건절),param,ReportMapper.xml,searchCustomers,
emergency_contacts,contact_phone,contactPhone (조건절),param,ReportMapper.xml,searchCustomers,
payment_methods,card_holder_name,cardHolderName (조건절),param,ReportMapper.xml,searchCustomers,
users,name,namePattern (조건절),param,ReportMapper.xml,searchCustomers,LIKE검색
users,id,id,result,UserMapper.xml,findAll,
users,name,name,result,UserMapper.xml,findAll,
users,email,email,result,UserMapper.xml,findAll,
users,created_at,createdAt,result,UserMapper.xml,findAll,
users,id,id,result,UserMapper.xml,findById,
users,name,name,result,UserMapper.xml,findById,
users,email,email,result,UserMapper.xml,findById,
users,created_at,createdAt,result,UserMapper.xml,findById,
users,id,id (조건절),param,UserMapper.xml,findById,
users,name,name,param,UserMapper.xml,insert,
users,email,email,param,UserMapper.xml,insert,
users,name,name,param,UserMapper.xml,update,
users,email,email,param,UserMapper.xml,update,
users,id,id (조건절),param,UserMapper.xml,update,
users,id,id (조건절),param,UserMapper.xml,deleteById,
users,name,name,param,UserMapper.xml,upsertByEmail,
users,email,email,param,UserMapper.xml,upsertByEmail,
users,name,EXCLUDED.name (ON CONFLICT),param,UserMapper.xml,upsertByEmail,
users,id,id,result,UserMapper.xml,upsertByEmail,RETURNING
users,name,name,result,UserMapper.xml,upsertByEmail,RETURNING
users,email,email,result,UserMapper.xml,upsertByEmail,RETURNING
users,name,s.name,param,UserMapper.xml,mergeByEmail,
users,email,s.email,param,UserMapper.xml,mergeByEmail,
users,id,id,result,UserMapper.xml,findDuplicateEmailPairs,
users,name,name,result,UserMapper.xml,findDuplicateEmailPairs,
users,email,email,result,UserMapper.xml,findDuplicateEmailPairs,
users,created_at,created_at,result,UserMapper.xml,findDuplicateEmailPairs,
users,id,id,result,UserMapper.xml,findAllWithProfile,
users,name,name,result,UserMapper.xml,findAllWithProfile,
users,email,email,result,UserMapper.xml,findAllWithProfile,
user_profiles,phone_number,phone_number,result,UserMapper.xml,findAllWithProfile,
user_profiles,address_line1,address_line1,result,UserMapper.xml,findAllWithProfile,
users,id,id,result,UserMapper.xml,findAllWithMaskedEmailLegacy,
users,name,name,result,UserMapper.xml,findAllWithMaskedEmailLegacy,
users,email,email_display,result,UserMapper.xml,findAllWithMaskedEmailLegacy,함수/가공값
users,id,id,result,UserMapper.xml,findByDynamicCriteria,
users,name,name,result,UserMapper.xml,findByDynamicCriteria,
users,email,email,result,UserMapper.xml,findByDynamicCriteria,
users,created_at,createdAt,result,UserMapper.xml,findByDynamicCriteria,
users,email,email (조건절),param,UserMapper.xml,findByDynamicCriteria,
users,name,name (조건절),param,UserMapper.xml,findByDynamicCriteria,
users,id,id,result,UserMapper.xml,searchAllContactNames,
users,name,display_name,result,UserMapper.xml,searchAllContactNames,
users,name,keyword (조건절),param,UserMapper.xml,searchAllContactNames,LIKE검색
emergency_contacts,id,id,result,UserMapper.xml,searchAllContactNames,
emergency_contacts,contact_name,display_name,result,UserMapper.xml,searchAllContactNames,
emergency_contacts,contact_name,keyword (조건절),param,UserMapper.xml,searchAllContactNames,LIKE검색
users,id,id,result,UserMapper.xml,findUsersWithNamedEmergencyContact,
users,name,name,result,UserMapper.xml,findUsersWithNamedEmergencyContact,
users,email,email,result,UserMapper.xml,findUsersWithNamedEmergencyContact,
emergency_contacts,contact_name,contactName (조건절),param,UserMapper.xml,findUsersWithNamedEmergencyContact,
users,id,id,result,UserMapper.xml,findAllWithMaskedEmail,
users,name,name,result,UserMapper.xml,findAllWithMaskedEmail,
users,email,email_masked,result,UserMapper.xml,findAllWithMaskedEmail,함수/가공값
users,id,id,result,UserMapper.xml,findAllWithDisplayLabel,
users,email,display_label,result,UserMapper.xml,findAllWithDisplayLabel,문자열연결
users,name,display_label,result,UserMapper.xml,findAllWithDisplayLabel,문자열연결
user_profiles,id,id,result,UserProfileMapper.xml,findAll,
user_profiles,user_id,userId,result,UserProfileMapper.xml,findAll,
user_profiles,phone_number,phoneNumber,result,UserProfileMapper.xml,findAll,
user_profiles,birth_date,birthDate,result,UserProfileMapper.xml,findAll,
user_profiles,address_line1,addressLine1,result,UserProfileMapper.xml,findAll,
user_profiles,marketing_opt_in,marketingOptIn,result,UserProfileMapper.xml,findAll,
user_profiles,created_at,createdAt,result,UserProfileMapper.xml,findAll,
user_profiles,id,id,result,UserProfileMapper.xml,findByUserId,
user_profiles,user_id,userId,result,UserProfileMapper.xml,findByUserId,
user_profiles,phone_number,phoneNumber,result,UserProfileMapper.xml,findByUserId,
user_profiles,birth_date,birthDate,result,UserProfileMapper.xml,findByUserId,
user_profiles,address_line1,addressLine1,result,UserProfileMapper.xml,findByUserId,
user_profiles,marketing_opt_in,marketingOptIn,result,UserProfileMapper.xml,findByUserId,
user_profiles,created_at,createdAt,result,UserProfileMapper.xml,findByUserId,
user_profiles,user_id,userId (조건절),param,UserProfileMapper.xml,findByUserId,
user_profiles,user_id,userId,param,UserProfileMapper.xml,insert,
user_profiles,phone_number,phoneNumber,param,UserProfileMapper.xml,insert,
user_profiles,birth_date,birthDate,param,UserProfileMapper.xml,insert,
user_profiles,address_line1,addressLine1,param,UserProfileMapper.xml,insert,
user_profiles,marketing_opt_in,marketingOptIn,param,UserProfileMapper.xml,insert,
user_profiles,phone_number,phoneNumber,param,UserProfileMapper.xml,update,
user_profiles,birth_date,birthDate,param,UserProfileMapper.xml,update,
user_profiles,address_line1,addressLine1,param,UserProfileMapper.xml,update,
user_profiles,marketing_opt_in,marketingOptIn,param,UserProfileMapper.xml,update,
user_profiles,user_id,userId (조건절),param,UserProfileMapper.xml,update,
users,id,id,result,UserProfileMapper.xml,findAllWithUser,
users,name,name,result,UserProfileMapper.xml,findAllWithUser,
users,email,email,result,UserProfileMapper.xml,findAllWithUser,
user_profiles,phone_number,phone_number,result,UserProfileMapper.xml,findAllWithUser,
user_profiles,address_line1,address_line1,result,UserProfileMapper.xml,findAllWithUser,
user_profiles,user_id,user_id,result,UserProfileMapper.xml,searchByBirthDateRange,
user_profiles,birth_date,birth_date,result,UserProfileMapper.xml,searchByBirthDateRange,
users,name,name,result,UserProfileMapper.xml,searchByBirthDateRange,
users,name,namePattern (조건절),param,UserProfileMapper.xml,searchByBirthDateRange,LIKE검색
user_profiles,birth_date,startDate (조건절),param,UserProfileMapper.xml,searchByBirthDateRange,범위비교
user_profiles,birth_date,endDate (조건절),param,UserProfileMapper.xml,searchByBirthDateRange,범위비교
